AIRCRAFTS.aid  AIRCRAFTS.aname  AIRCRAFTS.cruisingrange  SCHEDULE.flno  SCHEDULE.aid  
8115	jjzrtobmhn	9564	5793	8115	
7323	ndeaksahbx	5128	477	7323	
6501	biqytqyzmw	1203	5563	6501	
17828	youfwrvnjs	3476	2285	17828	
5680	ozvdfpbaap	7715	3420	5680	
16713	zbkjuruxjh	4426	745	16713	
4025	hfoffylrwe	9854	9644	4025	
16396	yrpndovxat	4358	5153	16396	
2637	cllsjfybvp	3146	8343	2637	
6626	aryhmgysep	5038	4109	6626	
2188	uigqhzcgaw	1274	5329	2188	
15566	iyezuhmxeu	7078	1346	15566	
16182	mgoakvjbcj	9379	2855	16182	
7805	elsepjqtnh	8451	4544	7805	
16084	kcraxzndcy	857	1851	16084	
16373	ezomouzpak	1780	11445	16373	
16267	rjserhpijo	4193	10818	16267	
6109	uuijggtbiv	6243	1474	6109	
8221	nfdlndxzic	2757	4057	8221	
1419	nzokiyjyzq	9589	9	1419	
18341	znpjdcjpvb	798	4202	18341	
18278	inncjcwytm	7489	2638	18278	
5858	bykeraafzj	3404	3885	5858	
16816	mkvaprqvka	2566	631	16816	
8262	rqoyqslzul	8731	5961	8262	
2188	uigqhzcgaw	1274	6055	2188	
4205	iupfvqmthi	7194	6322	4205	
17456	zfmivbzrty	6896	4940	17456	
18242	gtqfkmjcqx	7291	6595	18242	
19945	urtpkqpdpa	3542	3080	19945	
19650	omkopawjli	4806	11020	19650	
13549	nghnpdmnkr	296	7775	13549	
5858	bykeraafzj	3404	2744	5858	
13218	mendatqqzi	2668	11662	13218	
7638	edhnrmkmjz	3975	9516	7638	
5680	ozvdfpbaap	7715	10970	5680	
2637	cllsjfybvp	3146	5363	2637	
9455	aeubpqxcam	6765	4072	9455	
18242	gtqfkmjcqx	7291	4040	18242	
16762	mqtbvjhpou	3234	7748	16762	
10863	pfnmkhrtvn	5085	5954	10863	
19762	eiyxcfebrg	4564	10618	19762	
18332	lqzohwmcxc	1332	5025	18332	
3045	goiaxhrgyt	3402	9201	3045	
16070	avfwnvkfeg	3961	11864	16070	
8409	grbcwtozgz	4343	5250	8409	
3538	tzxuaegtst	2150	5935	3538	
14277	ddzgimwmmi	2265	6716	14277	
4661	grcwwxpffj	7754	7875	4661	
14608	nrzwisnooo	6071	9942	14608	
9747	zokwxdugtw	6440	6644	9747	
8843	ovzxssscfw	238	712	8843	
13327	xzmdugrlkg	8318	2279	13327	
10601	mtyiilzqam	8439	7050	10601	
3117	ruhdbfrnwa	4642	2097	3117	
4025	hfoffylrwe	9854	3055	4025	
6959	beizecbfej	7017	7180	6959	
19772	jmfxiofezp	920	7386	19772	
8152	mjgzkioban	8708	11568	8152	
8332	fxjebnrjiu	8148	11204	8332	
278	noggdsvlac	6169	3674	278	
7387	xqqbvvfdgg	2385	4014	7387	
19911	zxchvbsptv	7616	5117	19911	
9433	hawggnejhe	8024	866	9433	
5400	hjghbslxev	783	3232	5400	
7404	vhbtpzapci	2503	11519	7404	
4956	ovsbnbfpcl	7782	614	4956	
4165	qvxxqwdrmn	7702	9241	4165	
7323	ndeaksahbx	5128	6138	7323	
1502	gahkcagxea	9234	1229	1502	
4956	ovsbnbfpcl	7782	2065	4956	
4661	grcwwxpffj	7754	10356	4661	
3264	ymazhiloiq	2985	4721	3264	
17444	grbtyvainl	4761	10122	17444	
14277	ddzgimwmmi	2265	11121	14277	
15183	bpcqiezrsf	148	4512	15183	
7805	elsepjqtnh	8451	1473	7805	
14195	tysyfagyjo	4012	7537	14195	
17444	grbtyvainl	4761	7391	17444	
16070	avfwnvkfeg	3961	8540	16070	
10863	pfnmkhrtvn	5085	8071	10863	
17456	zfmivbzrty	6896	2551	17456	
1924	qkoxeryizu	4333	4153	1924	
3097	xewuylvhbp	1015	9547	3097	
13753	rzlefbyouf	5777	9564	13753	
2661	sbyoqaheke	8515	4666	2661	
16713	zbkjuruxjh	4426	9963	16713	
9058	jbguiaupie	415	2609	9058	
13019	vvphcejsoc	5967	5856	13019	
2838	tjpuglkcue	2355	7456	2838	
14608	nrzwisnooo	6071	2110	14608	
14266	ltlvfeyxcw	9796	6779	14266	
10790	vtyzvhyiyk	7972	259	10790	
169	tbjcztdtno	5812	8275	169	
2944	nmluvxnock	8236	1400	2944	
18401	yktyerbblq	5853	2126	18401	
16247	pqrnovycun	4523	7471	16247	
6849	wgymcvkauu	609	11805	6849	
5680	ozvdfpbaap	7715	7699	5680	
14588	wiwxckkqyk	2691	8792	14588	
4025	hfoffylrwe	9854	8096	4025	
17707	fcyrkywwuz	7758	7596	17707	
10902	kmpjutmnbs	6669	10096	10902	
9433	hawggnejhe	8024	1116	9433	
10218	rwfkowuvsu	8798	3968	10218	
5680	ozvdfpbaap	7715	750	5680	
13753	rzlefbyouf	5777	2496	13753	
18355	pattexjrjz	9451	4271	18355	
8064	alasishiip	9475	7765	8064	
3538	tzxuaegtst	2150	8322	3538	
7728	oawbhaiqrm	4346	3512	7728	
18040	tnqloxxyju	4646	5685	18040	
6246	aigphtzfhe	9997	8585	6246	
12528	vpklrlzhbi	2021	2073	12528	
3538	tzxuaegtst	2150	2579	3538	
7443	ethsmkqerr	1251	10675	7443	
2913	mpdidjuvyy	2321	6971	2913	
3538	tzxuaegtst	2150	3511	3538	
13281	sftciurafj	1499	9588	13281	
7488	ztbibbxfaz	3176	3634	7488	
13189	bpohpgjzzh	4077	6896	13189	
8172	inxxfeiovu	3020	9396	8172	
8152	mjgzkioban	8708	229	8152	
19058	diyvmdrcdv	9416	7928	19058	
12626	iloucdlswz	8194	11725	12626	
3097	xewuylvhbp	1015	7371	3097	
18040	tnqloxxyju	4646	10239	18040	
4204	azbwwcpngi	8311	2516	4204	
7443	ethsmkqerr	1251	10180	7443	
6296	tmdvrjuinq	7529	4801	6296	
14172	hwsppfzfoa	9206	1966	14172	
16922	echotgzufp	9152	7210	16922	
9058	jbguiaupie	415	2979	9058	
6246	aigphtzfhe	9997	11101	6246	
6025	unpnrotfng	5201	5456	6025	
4844	mnieuvmeti	4097	5377	4844	
4844	mnieuvmeti	4097	5387	4844	
18401	yktyerbblq	5853	6492	18401	
9716	tdnbzmuxhm	9015	9712	9716	
1630	mzuuksfwxu	5665	5469	1630	
15287	rmylcudnmd	4769	2454	15287	
908	ysvzzzawgk	3653	9835	908	
2328	xcpforzwpx	1060	1099	2328	
7638	edhnrmkmjz	3975	7197	7638	
3512	pwkfnzgudj	9522	4610	3512	
10414	wbhlnhnnil	6561	5159	10414	
10101	bxypmmgixl	1655	3275	10101	
2637	cllsjfybvp	3146	7524	2637	
3097	xewuylvhbp	1015	1663	3097	
1630	mzuuksfwxu	5665	3419	1630	
16713	zbkjuruxjh	4426	8528	16713	
14172	hwsppfzfoa	9206	11680	14172	
4661	grcwwxpffj	7754	11571	4661	
16713	zbkjuruxjh	4426	9914	16713	
611	oxbhrydsdt	913	1779	611	
17849	okvxlfcoao	9447	3622	17849	
16289	wsxdqtfpqp	7145	6868	16289	
16945	weifloazbu	9841	4434	16945	
9501	assgqjuuxy	7477	9953	9501	
2562	capqoykjnn	1579	2345	2562	
8604	huooorufee	9852	2273	8604	
4255	bhvyxgsijw	9119	3561	4255	
11260	eafscexjor	767	522	11260	
2328	xcpforzwpx	1060	1051	2328	
12175	jkclubqhdt	2304	7542	12175	
4170	fhwbxfasat	5798	3248	4170	
8149	shylgthowi	645	5162	8149	
2494	hsisfierdr	6590	7420	2494	
7443	ethsmkqerr	1251	4358	7443	
5214	wmnytngtmr	8801	5903	5214	
14266	ltlvfeyxcw	9796	4387	14266	
7638	edhnrmkmjz	3975	4105	7638	
11046	tpzrcsezsq	7870	10638	11046	
2920	csppenpfqm	4052	2473	2920	
2562	capqoykjnn	1579	11077	2562	
5948	ocvqewpixe	1813	8254	5948	
12181	kmhklpedks	2782	1205	12181	
8886	rfeotmiqvt	3502	9578	8886	
16762	mqtbvjhpou	3234	9335	16762	
16373	ezomouzpak	1780	3851	16373	
13405	gfmbbbifqy	8464	8736	13405	
19846	mxyyqzjvjf	4856	3123	19846	
8332	fxjebnrjiu	8148	9233	8332	
16547	enwewfmpcl	1325	10784	16547	
4345	ckltywrmko	77	4896	4345	
5680	ozvdfpbaap	7715	3004	5680	
12279	tjgclhmlcl	1364	7505	12279	
3045	goiaxhrgyt	3402	2480	3045	
7579	fjigtdlpnu	9526	9393	7579	
2103	xcivwjtywr	9281	11382	2103	
514	cydohpzpag	2211	11970	514	
432	qkvoqfwujg	4582	11991	432	
8633	qiigzzpmrg	2300	7170	8633	
8873	efdvbzpmwm	909	2147	8873	
3781	mjspxjrvwf	5045	6995	3781	
15559	sgevtfrkaw	8706	3478	15559	
7112	muwthflrya	7675	5028	7112	
14691	gihiwyfhne	193	3249	14691	
3086	shywwowabx	8280	3292	3086	
